SYMB,MM/DD/YY,NAV
IBSEP2009,6/1/2014,109.88
IBOCT2009,6/1/2014,109.80
IBNOV2009,6/1/2014,111.24
IBDEC2009,6/1/2014,111.08
IBJAN2008,6/1/2014,125.80
IBFEB2008,6/1/2014,125.56
IBMAR2008,6/1/2014,125.32
IBAPR2008,6/1/2014,125.04
IBMAY2008,6/1/2014,115.72
IBJUN2008,6/1/2014,115.56
IBJUL2008,6/1/2014,115.44
IBAUG2008,6/1/2014,115.32
IBSEP2008,6/1/2014,115.2
IBOCT2008,6/1/2014,115.12
IBNOV2008,6/1/2014,117.04
IBDEC2008,6/1/2014,116.8
IBJAN2007,6/1/2014,132.72
IBFEB2007,6/1/2014,132.44
IBMAR2007,6/1/2014,132.16
IBAPR2007,6/1/2014,131.88
IBMAY2007,6/1/2014,129.44
IBJUN2007,6/1/2014,129.12
IBJUL2007,6/1/2014,128.84
IBAUG2007,6/1/2014,128.56
IBSEP2007,6/1/2014,128.32
IBOCT2007,6/1/2014,128.04
IBNOV2007,6/1/2014,126.36
IBDEC2007,6/1/2014,126.04
IBJAN2006,6/1/2014,134.68
IBFEB2006,6/1/2014,134.44
IBMAR2006,6/1/2014,134.20
IBAPR2006,6/1/2014,133.96
IBMAY2006,6/1/2014,134.8
IBJUN2006,6/1/2014,134.44
IBJUL2006,6/1/2014,134.16
IBAUG2006,6/1/2014,133.88
IBSEP2006,6/1/2014,133.56
IBOCT2006,6/1/2014,133.28
IBNOV2006,6/1/2014,133.40
IBDEC2006,6/1/2014,133.04
IBJAN2005,6/1/2014,140.4
IBFEB2005,6/1/2014,140.12
IBMAR2005,6/1/2014,139.88
IBAPR2005,6/1/2014,139.64
IBMAY2005,6/1/2014,140.76
IBJUN2005,6/1/2014,140.4
IBJUL2005,6/1/2014,140.16
IBAUG2005,6/1/2014,139.88
IBSEP2005,6/1/2014,139.6
IBOCT2005,6/1/2014,139.32
IBNOV2005,6/1/2014,135.28
IBDEC2005,6/1/2014,134.96
IBJAN2004,6/1/2014,145.6
IBFEB2004,6/1/2014,145.32
IBMAR2004,6/1/2014,145.08
IBAPR2004,6/1/2014,144.8
IBMAY2004,6/1/2014,143.36
IBJUN2004,6/1/2014,143.04
IBJUL2004,6/1/2014,142.76
IBAUG2004,6/1/2014,142.52
IBSEP2004,6/1/2014,142.24
IBOCT2004,6/1/2014,142.0
IBNOV2004,6/1/2014,140.96
IBDEC2004,6/1/2014,140.64
IBJAN2003,6/1/2014,160.08
IBFEB2003,6/1/2014,159.72
IBMAR2003,6/1/2014,159.32
IBAPR2003,6/1/2014,158.96
IBMAY2003,6/1/2014,149.76
IBJUN2003,6/1/2014,149.40
IBJUL2003,6/1/2014,149.12
IBAUG2003,6/1/2014,148.84
IBSEP2003,6/1/2014,148.56
IBOCT2003,6/1/2014,148.28
IBNOV2003,6/1/2014,146.24
IBDEC2003,6/1/2014,145.88
IBJAN2002,6/1/2014,173.08
IBFEB2002,6/1/2014,172.60
IBMAR2002,6/1/2014,172.16
IBAPR2002,6/1/2014,171.72
IBMAY2002,6/1/2014,170.36
IBJUN2002,6/1/2014,169.80
IBJUL2002,6/1/2014,169.32
IBAUG2002,6/1/2014,168.88
IBSEP2002,6/1/2014,168.44
IBOCT2002,6/1/2014,168
IBNOV2002,6/1/2014,160.88
IBDEC2002,6/1/2014,160.44
IBJAN2001,6/1/2014,217.36
IBFEB2001,6/1/2014,216.52
IBMAR2001,6/1/2014,215.72
IBAPR2001,6/1/2014,214.92
IBMAY2001,6/1/2014,202.0
IBJUN2001,6/1/2014,201.2
IBJUL2001,6/1/2014,200.52
IBAUG2001,6/1/2014,199.84
IBSEP2001,6/1/2014,199.12
IBOCT2001,6/1/2014,198.44
IBNOV2001,6/1/2014,174.08
IBDEC2001,6/1/2014,173.52
IBJAN2000,6/1/2014,233.08
IBFEB2000,6/1/2014,232.20
IBMAR2000,6/1/2014,231.32
IBAPR2000,6/1/2014,230.48
IBMAY2000,6/1/2014,233.24
IBJUN2000,6/1/2014,232.20
IBJUL2000,6/1/2014,231.28
IBAUG2000,6/1/2014,230.36
IBSEP2000,6/1/2014,229.48
IBOCT2000,6/1/2014,228.56
IBNOV2000,6/1/2014,219.16
IBDEC2000,6/1/2014,218.20
IBJAN1999,6/1/2014,241.96
IBFEB1999,6/1/2014,241.08
IBMAR1999,6/1/2014,240.16
IBAPR1999,6/1/2014,239.28
IBMAY1999,6/1/2014,237.76
IBJUN1999,6/1/2014,236.76
IBJUL1999,6/1/2014,235.88
IBAUG1999,6/1/2014,235.04
IBSEP1999,6/1/2014,234.16
IBOCT1999,6/1/2014,233.28
IBNOV1999,6/1/2014,235.00
IBDEC1999,6/1/2014,234.0
IBSEP1998,6/1/2014,248.88
IBOCT1998,6/1/2014,247.96
IBNOV1998,6/1/2014,243.92
IBDEC1998,6/1/2014,242.88
IBJAN2011,7/1/2014,107.28
IBFEB2011,7/1/2014,107.16
IBMAR2011,7/1/2014,107.08
IBAPR2011,7/1/2014,106.96
IBMAY2011,7/1/2014,107.12
IBJUN2011,7/1/2014,107.00
IBJUL2011,7/1/2014,106.92
IBAUG2011,7/1/2014,106.8
IBSEP2011,7/1/2014,106.72
IBOCT2011,7/1/2014,106.60
IBNOV2011,7/1/2014,104.68
IBDEC2011,7/1/2014,104.56
IBJAN2010,7/1/2014,111.08
IBFEB2010,7/1/2014,110.96
IBMAR2010,7/1/2014,110.8
IBAPR2010,7/1/2014,110.68
IBMAY2010,7/1/2014,109.2
IBJUN2010,7/1/2014,109.04
IBJUL2010,7/1/2014,108.92
IBAUG2010,7/1/2014,108.8
IBSEP2010,7/1/2014,108.68
IBOCT2010,7/1/2014,108.56
IBNOV2010,7/1/2014,107.48
IBDEC2010,7/1/2014,107.40
IBJAN2009,7/1/2014,116.8
IBFEB2009,7/1/2014,116.64
IBMAR2009,7/1/2014,116.44
IBAPR2009,7/1/2014,116.28
IBMAY2009,7/1/2014,110.96
IBJUN2009,7/1/2014,110.76
IBJUL2009,7/1/2014,110.60
IBAUG2009,7/1/2014,110.12
IBSEP2009,7/1/2014,110.0
IBOCT2009,7/1/2014,109.88
IBNOV2009,7/1/2014,111.36
IBDEC2009,7/1/2014,111.24
IBJAN2008,7/1/2014,126.04
IBFEB2008,7/1/2014,125.80
IBMAR2008,7/1/2014,125.56
IBAPR2008,7/1/2014,125.32
IBMAY2008,7/1/2014,115.92
IBJUN2008,7/1/2014,115.72
IBJUL2008,7/1/2014,115.56
IBAUG2008,7/1/2014,115.44
IBSEP2008,7/1/2014,115.32
IBOCT2008,7/1/2014,115.2
IBNOV2008,7/1/2014,117.28
IBDEC2008,7/1/2014,117.04
IBJAN2007,7/1/2014,133.04
IBFEB2007,7/1/2014,132.72
IBMAR2007,7/1/2014,132.44
IBAPR2007,7/1/2014,132.16
IBMAY2007,7/1/2014,129.80
IBJUN2007,7/1/2014,129.44
IBJUL2007,7/1/2014,129.12
IBAUG2007,7/1/2014,128.84
IBSEP2007,7/1/2014,128.56
IBOCT2007,7/1/2014,128.32
IBNOV2007,7/1/2014,126.68
IBDEC2007,7/1/2014,126.36
IBJAN2006,7/1/2014,134.96
IBFEB2006,7/1/2014,134.68
IBMAR2006,7/1/2014,134.44
IBAPR2006,7/1/2014,134.20
IBMAY2006,7/1/2014,135.16
IBJUN2006,7/1/2014,134.8
IBJUL2006,7/1/2014,134.44
IBAUG2006,7/1/2014,134.16
IBSEP2006,7/1/2014,133.88
IBOCT2006,7/1/2014,133.56
IBNOV2006,7/1/2014,133.76
IBDEC2006,7/1/2014,133.40
IBJAN2005,7/1/2014,140.64
IBFEB2005,7/1/2014,140.4
IBMAR2005,7/1/2014,140.12
IBAPR2005,7/1/2014,139.88
IBMAY2005,7/1/2014,141.12
IBJUN2005,7/1/2014,140.76
IBJUL2005,7/1/2014,140.4
IBAUG2005,7/1/2014,140.16
IBSEP2005,7/1/2014,139.88
IBOCT2005,7/1/2014,139.6
IBNOV2005,7/1/2014,135.6
IBDEC2005,7/1/2014,135.28
IBJAN2003,7/1/2014,160.44
IBFEB2003,7/1/2014,160.08
IBMAR2003,7/1/2014,159.72
IBAPR2003,7/1/2014,159.32
IBMAY2003,7/1/2014,150.12
IBJUN2003,7/1/2014,149.76
IBJUL2003,7/1/2014,149.40
IBAUG2003,7/1/2014,149.12
IBSEP2003,7/1/2014,148.84
IBOCT2003,7/1/2014,148.56
IBNOV2003,7/1/2014,146.60
IBDEC2003,7/1/2014,146.24
IBJAN2002,7/1/2014,173.52
IBFEB2002,7/1/2014,173.08
IBMAR2002,7/1/2014,172.60
IBAPR2002,7/1/2014,172.16
IBMAY2002,7/1/2014,170.88
IBJUN2002,7/1/2014,170.36
IBJUL2002,7/1/2014,169.80
IBAUG2002,7/1/2014,169.32
IBSEP2002,7/1/2014,168.88
IBOCT2002,7/1/2014,168.44
IBNOV2002,7/1/2014,161.36
IBDEC2002,7/1/2014,160.88
IBJAN2000,7/1/2014,234.0
IBFEB2000,7/1/2014,233.08
IBMAR2000,7/1/2014,232.20
IBAPR2000,7/1/2014,231.32
IBMAY2000,7/1/2014,234.28
